,NFC Team,W,L,T,RANK,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,"Atlanta Falcons
            
          

            Falcons",4,12,0,16,0.25,396,414,-18,02/06/2000,02/06/2000,01/05/2000,0.167,02/10/2000,0.167,02/02/2000,5L,0 - 5 - 0
1,"Philadelphia Eagles
            
          

            Eagles",4,11,1,15,0.281,334,418,-84,03/04/2001,01/07/2000,02/04/2000,0.333,04/08/2000,0.333,0 - 3 - 1,3L,01/04/2000
2,"Carolina Panthers
            
          

            Panthers",5,11,0,13,0.313,350,402,-52,02/06/2000,03/05/2000,01/05/2000,0.167,04/08/2000,0.333,01/03/2000,1L,01/04/2000
3,"Detroit Lions
            
          

            Lions",5,11,0,14,0.313,377,519,-142,01/07/2000,04/04/2000,01/05/2000,0.167,04/08/2000,0.333,01/03/2000,4L,01/04/2000
4,"San Francisco 49ers
            
          

            49ers",6,10,0,10,0.375,376,390,-14,01/07/2000,05/03/2000,03/03/2000,0.5,04/08/2000,0.333,02/02/2000,1L,01/04/2000
5,"Dallas Cowboys
            
          

            Cowboys",6,10,0,12,0.375,395,473,-78,04/04/2000,02/06/2000,02/04/2000,0.333,05/07/2000,0.417,01/03/2000,1L,03/02/2000
6,"New York Giants
            
          

            Giants",6,10,0,11,0.375,280,357,-77,03/05/2000,03/05/2000,04/02/2000,0.667,05/07/2000,0.417,01/03/2000,1W,02/03/2000
7,"Minnesota Vikings
            
          

            Vikings",7,9,0,9,0.438,430,475,-45,03/05/2000,04/04/2000,04/02/2000,0.667,05/07/2000,0.417,02/02/2000,1W,02/03/2000
8,"Washington Football Team
            xz


            Washington
            xz",7,9,0,4,0.438,335,329,6,03/05/2000,04/04/2000,04/02/2000,0.667,05/07/2000,0.417,02/02/2000,1W,03/02/2000
9,"Arizona Cardinals
            
          

            Cardinals",8,8,0,8,0.5,410,367,43,04/04/2000,04/04/2000,02/04/2000,0.333,06/06/2000,0.5,02/02/2000,2L,02/03/2000
10,"Chicago Bears
            xy


            Bears
            xy",8,8,0,7,0.5,372,370,2,03/05/2000,05/03/2000,02/04/2000,0.333,06/06/2000,0.5,02/02/2000,1L,03/02/2000
11,"Tampa Bay Buccaneers
            xy


            Buccaneers
            xy",11,5,0,5,0.688,492,355,137,05/03/2000,06/02/2000,04/02/2000,0.667,08/04/2000,0.667,03/01/2000,4W,04/01/2000
12,"Los Angeles Rams
            xy


            Rams
            xy",10,6,0,6,0.625,372,296,76,06/02/2000,04/04/2000,03/03/2000,0.5,09/03/2000,0.75,01/03/2000,1W,03/02/2000
13,"Seattle Seahawks
            xz


            Seahawks
            xz",12,4,0,3,0.75,459,371,88,07/01/2000,05/03/2000,04/02/2000,0.667,09/03/2000,0.75,03/01/2000,4W,04/01/2000
14,"New Orleans Saints
            xz


            Saints
            xz",12,4,0,2,0.75,482,337,145,06/02/2000,06/02/2000,6 - 0 - 0,1,10/02/2000,0.833,02/02/2000,2W,03/02/2000
15,"Green Bay Packers
            xz*


            Packers
            xz*",13,3,0,1,0.813,509,369,140,07/01/2000,06/02/2000,05/01/2000,0.833,10/02/2000,0.833,03/01/2000,6W,5 - 0 - 0
